[-10.],[-10.],[-10.],[5.],[6.26099034],[2.90916821],[0.33453291],[-0.63425917],[-0.6169059],[-0.29062554]
[5.],[-10.],[-10.],[-10.],[-1.],[1.37480446],[1.0401478],[0.38272096],[0.00709523],[-0.10351989]
